ReservacionID,CustomerID,Nombre,Apellido,Correo,Numero,DiaReservacion,HoraReservacion,NAsistentes,Especificaciones,Mesa,Estado,PlataformaReserva,Correp
37,CUST1954,Victoria,Johnson,josephmoreno@example.com,6994261054,29/09/2025,22:30:00,6,Reality table should buy yes.,22,Confirmado,En-linea,
38,CUST707,Erik,Wilson,asanders@example.com,(567) 876-6076,2025-09-25,13:30:00,10,,27,Pendiente ,Aplicacion-movil,
39,CUST868,Melissa,Hicks,jennycooper@example.org,,27-Oct-2025,20:45:00,7,Baby mention same represent.,4,cancelado,Aplicacion-movil,
40,CUST56,Jose,hardy,washingtonronald@example.com,(915) 770-8799,2025-12-02,21:00,7,Program natural character.,13,Pendiente,Telegono,
41,CUST1616,Brittany,Flynn,beardeugene@example.net,056-027-4788,27-Oct-2025,18:00:00,9,Whole me scene.,22,No-mostar,Aplicacion-movil,
42,CUST1999,Shelby,Nichols,wgarcia@example.org,9350061277,10-31-2025,19:30,7,Threat believe what administration raise building.,22,Pendiente , sitioweb,
43,CUST837,Carol,Barry,christinajames@example.com,9294636618,2025-09-18,14:45:00,8,Pay least rule fall probably.,1,Pendiente,Llamada,
44,CUST1521,Kathryn,Simmons,vshea@example.net,5691356535,12-Oct-2025,21:30:00,1,  ,25, Confirmado,En-linea,
45,CUST1531,April,smith,andrewvega@example.net,7929237165,12/11/2025,16:00:00,6,,11,CONFIRMADO,Aplicacion-movil,
46,CUST805,Laura,frye,ewalker@example.org,046-517-2288,2025-11-20,21:00,8,,19,CONFIRMADO,En-linea,
47,CUST1457,Theresa,Sandoval,travis77@example.org,(644) 940-2169,2025-12-02,20:15,5,Share should board realize.,14,Pendiente ,telefono,
48,CUST1808,Melissa,Rush,rosegeorge@example.net,3384599788,2025-09-22,18:00:00,99,,26,Confirmado, sitioweb,
49,CUST309,Stcey,Silva,hwarren@example.net,4488443036,09-12-2025,16:15:00,1,,27, Confirmado, sitioweb,
50,CUST1299,Aarn,Romero,ashleejones@example.org,,2025-11-27,17:00:00,2,Citizen total effect prepare its might.,11,CONFIRMADO,Aplicacion,
51,CUST107,John,Adams,sarahward@example.com,1596282802,20/09/2025,12:45,3,,28,Pendiente,Llamada,
52,CUST563,Timothy,Shannon,gabrielsmith@example.org,6547704266,26/11/2025,12:45 PM,5,,30,Pendiente , sitioweb,
53,CUST236,James,Baker,ilopez@example.com,8571226504,11-01-2025,15:30:00,5,,3,cancelado, sitioweb,
54,CUST82,Katrina,Nelson,shannonmccarthy@example.net,(276) 577-8030,10-09-2025,03:30 PM,10,,14,CONFIRMADO,Sitio,
55,CUST461,Jose,Mayer,carol48@example.com,3002106167,2025-12-07,10:15 PM,3,Training attorney pick TV cup.,8,CONFIRMADO,Telegono,
56,CUST191,Joe,Wilkerson,tina38@example.com,4066968566,10-10-2025,03:15 PM,3,,13,cancelado, sitioweb,
57,CUST1880,Chelsea,Rodriguez,fblack@.com,,12-Oct-2025,20:30,8,Ok direction really.,17,CONFIRMADO,Sitio,
58,CUST1945,Tracy,Carpenter,kimandrea@example.net,989-108-7013,2025-10-03,06:30 PM,3,,17,cancelado,Llamada,
59,CUST1751,Nathaniel,Brooks,nicholaspark@example.net,6328578151,2025-11-21,17:15:00,6,,25,Confirmado,telefono,
60,CUST469,John,Walker,laurawilliams@example.net,(225) 232-8667,21-Sep-2025,13:00:00,6,Visit market stop.,23,Pendiente, sitioweb,
61,CUST1127,Billy,Martin,joangrant.com,(960) 956-9279,2025-11-01,18:00,3,Care skin view near more.,12,cancelado,telefono,
62,CUST897,Travis,Pena,dhernandez@example.com,798-396-2403,2025-12-03,15:00:00,8,,28,Pendiente , sitioweb,
63,CUST842,Vncent,Crawford,kevin47@example.com,884-073-4841,29-Sep-2025,21:45:00,2,,28,Pendiente,Sitio,
64,CUST726,Ann,Davis,lrodriguez@example.net,5238171621,09-29-2025,19:45:00,1,,12,Pendiente ,Aplicacion,
65,CUST912,Jessica,Nichols,jennifer38@example.com,(465) 153-5015,26-Nov-2025,19:15:00,9,Down feeling themselves evening know.,30,CONFIRMADO,Aplicacion,
66,CUST1278,Nicole,graham,martinmartinez@example.net,(961) 243-5033,28-Sep-2025,15:15,1,,3,Cancelado,Sitio,
67,CUST362,Rachel,Miller,cindy16@example.com,(308) 073-5887,09-Nov-2025,17:45,8,,10,confirmado,Telegono,
68,CUST1962,Andrew,Miller,wcastillo@example.com,3312030643,08-Oct-2025,20:30,9,  ,26,No-mostar,Aplicacion,
69,CUST887,Yolanda,Cohen,schmidtvicki@example.org,(272) 303-9553,2025-11-26,22:00,4,,24,confirmado, sitioweb,
70,CUST468,Carlos,Santiago,michael52@example.net,898-782-7515,10-20-2025,19:00,2,,24,confirmado,Sitio,
71,CUST1247,Richard,Jones,fhoward@example.org,,10-06-2025,21:45,6,,13,CONFIRMADO,En-linea,
72,CUST1258,William,harris,rmcdonald@example.net,5852286905,2025-10-02,22:45:00,7,,25,No-mostar,Aplicacion,
73,CUST1147,Beth,Hill,tsanchez@example.net,(191) 800-9680,2025-10-25,21:45:00,9,,30,cancelado, sitioweb,
74,CUST261,Nathan,vasquez,joshua97@example.org,2722182107,21-Oct-2025,03:00 PM,5,,25,Confirmado,Telegono,
75,CUST436,Michelle,Gilbert,alyssa72@example.org,0047800075,30/11/2025,21:30,2,Understand company evening chance north second.,22,CONFIRMADO,Telegono,
76,CUST1787,Catherine,Clarke,pattonjohn@example.org,2031790659,02-Nov-2025,13:00,4,,29, Confirmado,Sitio,
77,CUST1317,Anthony,Tran,bethjones@example.net,0513318106,11-19-2025,03:00 PM,2,,19,Pendiente,telefono,
78,CUST1510,Nicole,Phillips,ebuchanan@example.com,384-677-4611,30/10/2025,02:30 PM,5,,7, Confirmado,Llamada,
79,CUST1152,Robert,Foster,zjoseph@example.com,9045694533,16-Oct-2025,06:30 PM,10,Foreign maintain parent opportunity whom.,5,Confirmado,En-linea,
80,CUST933,David,Velasquez,agarcia@example.com,7520031949,25-Sep-2025,15:00:00,3,,19, Confirmado,Telegono,
81,CUST324,Austin,Clark,caleb96@example.com,730-933-0171,29-Oct-2025,22:00,2,Impact something response.,25,Pendiente , sitioweb,
82,CUST1913,Joseph,Malone,melissa81@example.com,(055) 723-4458,11-09-2025,20:15:00,5,Mention really woman surface newspaper.,4,No-mostar,Aplicacion-movil,
83,CUST667,Brian,Ballard,rossmichelle@example.org,4847330617,16/09/2025,18:30:00,1, Without grow book land. ,5,Cancelado,En-linea,
84,CUST1057,Julia,Anderson,josephedwards@example.org,317-279-8736,17/09/2025,18:15,7,,12,Pendiente ,Aplicacion-movil,
85,CUST1286,Timothy,Cantrell,barbaranguyen@example.net,026-053-8887,10-03-2025,15:00:00,9,,2,confirmado,Sitio,
86,CUST1132,Jerey,Jackson,morgan75@example.net,2778345610,2025-09-22,03:00 PM,100,Ago heart room bad to.,27,Pendiente,Aplicacion,
87,CUST644,Kristen,Baker,angelabrowning@example.com,(671) 670-7059,11-04-2025,13:15,2,,23,No-mostar,Telegono,
88,CUST1350,Hector,Wright,tadams@example.com,116-352-6448,10-Nov-2025,03:45 PM,1,,20,Confirmado,En-linea,
89,CUST1593,Robert,Moreno,ncarey@example.net,312-610-8913,11-02-2025,18:30:00,2,Direction everyone computer small property receive.,28,Cancelado,Aplicacion,
90,CUST968,Connor,Weber,zramsey@example.com,(007) 517-2848,2025-09-10,12:15,3,I example support.,25, Confirmado,En-linea,
91,CUST515,Ashlee,Phillips,lyonsveronica@.com,1792621923,12/11/2025,09:45 PM,7,,19, Confirmado,telefono,
92,CUST421,Elizabeth,Little,onealmichael@example.com,714-699-0084,2025-10-15,21:15:00,99,,11,cancelado,Sitio,
93,CUST1913,Christina,Bates,mark36@example.org,451-236-0534,10-01-2025,16:45:00,7,,20,No-mostar,Telegono,
94,CUST1511,Stephanie,Nelson,williamsjulia@example.com,7529568337,2025-10-07,13:30,3,,19, Confirmado,telefono,
95,CUST335,Abigail,Roberts,jlee@example.org,1583039719,2025-11-26,12:30 PM,10,,30,Confirmado,Aplicacion,
96,CUST1494,Jacob,Ramirez,cassidymosley@example.com,3527740708,2025-09-10,13:00:00,10, Area face left. ,15,No-mostar,En-linea,
97,CUST1173,Json,Roberts,anna62@example.net,0756647750,2025-11-29,17:15:00,4,Something quite outside chair.,18,Pendiente ,Telegono,
98,CUST1616,Stephanie,Rodriguez,andrew72@example,779-698-2321,2025-09-22,18:45,8,,5,Pendiente,En-linea,
99,CUST986,Emily,James,michael84@example.com,,04-Oct-2025,15:45:00,9,Require loss focus.,20,Confirmado, sitioweb,
100,CUST1192,John,Jenkins,wagnerjerome@example.net,,29-Nov-2025,22:45,5,,1,Confirmado,Llamada,
101,CUST656,Yvonne,Perez,nathaniel24@example.org,9289202304,10-09-2025,03:30 PM,9,Suggest even yet accept real.,17,Pendiente,Sitio,
102,CUST271,Brian,Meyer,timothyhenry@example.org,220-419-7385,18/11/2025,06:15 PM,5,,20,confirmado,telefono,
103,CUST1549,Saa,byrd,valentinejohn@example.org,822-526-1719,2025-10-20,08:00 PM,3,,26,Cancelado, sitioweb,
104,CUST544,Haley,Bonilla,nicholas32@example.org,,2025-09-28,20:30,9,  ,15,confirmado,telefono,
105,CUST129,Jim,Sanchez,brookemcguire@example.com,4065100073,03/11/2025,12:30,5,State production meeting last lose.,21,confirmado,Llamada,
106,CUST471,Amanda,Thomas,joseph10@example.org,706-537-0549,22/11/2025,05:30 PM,10,,12,No-mostar,Llamada,
107,CUST603,Scott,Nelson,williamsbenjamin@example.org,0910951146,26-Oct-2025,17:00:00,5,Health watch house position.,16,Cancelado,Telegono,
108,CUST604,Christina,Williams,michelleferguson@example.org,7177092376,09-27-2025,13:00,6,,8,No-mostar,telefono,
109,CUST1784,Christopher,Wilson,willisanthony@example.org,,2025-10-29,20:15,7,,25,Pendiente ,Sitio,
110,CUST1444,Tyler,Lowery,lchavez@example.org,(018) 984-9812,05-Dec-2025,16:30,9,Land big energy drive.,18,CONFIRMADO,En-linea,
111,CUST211,Clarence,Vega,michaelellison@example.net,5332349602,11-24-2025,15:30:00,6,,12,confirmado,telefono,
112,CUST792,Dana,English,ienglish@example.net,149-929-7698,15/11/2025,17:45:00,2,,14,cancelado,En-linea,
113,CUST1367,Nancy,Robertson,jenniferbenton@example.com,(778) 667-5057,2025-11-15,12:00 PM,10,Large news listen at.,27,Pendiente,En-linea,
114,CUST1133,Peter,Sullivan,lduncan@example.org,(823) 551-8015,11-13-2025,14:15:00,6,,29,Pendiente ,Telegono,
115,CUST602,Logan,Brown,whansen@example.com,335-519-4954,23-Sep-2025,03:30 PM,5,Born less staff reduce write gun.,9,Pendiente,Aplicacion,
116,CUST468,Jonathan,Watkins,davischelsea@example.org,(555) 934-0041,17/11/2025,15:45,7,Wear note light material on.,15,CONFIRMADO,Llamada,
117,CUST1706,Ronnie,Jennings,gillgrant@example.net,(249) 931-5566,05/11/2025,12:45,5,Although keep action win current.,7,Pendiente,En-linea,
118,CUST1480,Michael,Pacheco,aliciacarroll@example.net,1026709018,25-Nov-2025,12:15:00,2,,11,cancelado,Sitio,
119,CUST231,Sara,Vang,matthewramos@.com,,09-Nov-2025,05:15 PM,1,,11,No-mostar,Aplicacion-movil,
120,CUST342,Melinda,Lang,polson@email..com,,06/12/2025,20:30,6,,15,Cancelado,Sitio,
121,CUST1510,Stephanie,Christian,turnerkyle@example.com,(599) 264-7572,09-30-2025,12:15:00,7,Alone employee upon.,20, Confirmado,telefono,
122,CUST1276,William,Gilbert,raymond01@example.net,357-791-6065,02/11/2025,09:00 PM,2,  ,6,CONFIRMADO,En-linea,
123,CUST50,Joseph,Rowe,brian48@example.net,(325) 051-1493,28/10/2025,15:00,2,,15,Cancelado,Telegono,
124,CUST537,Joel,Nash,sgill@example.com,(326) 632-2993,24/09/2025,17:00:00,7,Mission think action administration car.,9,Pendiente , sitioweb,
125,CUST1462,Melinda,Roberts,vperez@example.org,(504) 815-1260,22-Sep-2025,16:15,8,,26,Confirmado, sitioweb,
126,CUST1236,Charls,Rosario,nancyrobinson@example.com,9720844015,2025-09-11,16:15:00,4,,25, Confirmado,Telegono,
127,CUST1564,Catherine,Brown,albertgarcia@example.net,,2025-10-09,22:00,8,,6,Confirmado, sitioweb,
128,CUST47,Jimmy,Anderson,eric82@example.org,2797518057,11-19-2025,22:15:00,3,,18,cancelado,Aplicacion-movil,
129,CUST1112,Heather,Armstrong,rasmussenbrian@example.net,(270) 267-7464,08/10/2025,17:15:00,4,,9,Pendiente ,telefono,
130,CUST510,Cynthia,Marshall,derek93@example.net,,07/10/2025,06:45 PM,5,,20,cancelado,Aplicacion-movil,
131,CUST1945,Mark,conley,cbrennan@example.org,,2025-10-18,16:15:00,1,,12,Confirmado,Aplicacion-movil,
132,CUST657,Paul,Bradshaw,edward35@example.net,(874) 357-8635,19/09/2025,14:30:00,3,,10, Confirmado,Llamada,
133,CUST852,Brianna,Martin,karigreen@example.org,087-209-0394,10-01-2025,09:45 PM,8,,19, Confirmado,Aplicacion-movil,
134,CUST97,Claudia,Young,torresregina@example.org,6476565381,2025-10-31,16:15,7,,15,confirmado,telefono,
135,CUST562,Amber,Pacheco,reyesandrew@example.org,7531004636,17/09/2025,08:15 PM,7,,16,Pendiente,En-linea,
136,CUST1238,Nicole,Johnson,christopher22@example.net,(762) 063-5002,05-Dec-2025,16:15:00,5,,3,CONFIRMADO,En-linea,
137,CUST149,Timothy,Jimenez,sherryanderson@.com,(727) 169-0772,13/10/2025,18:45:00,3,Now number event.,5,Pendiente ,Aplicacion,
138,CUST1475,Yolanda,Ruiz,timothy20.com,1770153592,10-19-2025,21:15,7,,30,Pendiente,Sitio,
139,CUST175,Pamela,Russell,howardandrea@example.com,0769009117,18/09/2025,16:30:00,9,Young beat still value.,2,No-mostar,Telegono,
140,CUST716,Joseph,Warner,gallagherkaren@example.net,6298539334,2025-10-20,21:00,10,,19,cancelado,Aplicacion,
141,CUST1395,John,King,fwiggins@example.com,,2025-11-15,14:45:00,3,Dog hit establish.,19,CONFIRMADO,Llamada,
142,CUST145,Stephanie,Collins,davidjimenez@example.com,,18/10/2025,12:45 PM,9,,19, Confirmado,telefono,
143,CUST1791,Cody,Young,garnerraven@example.org,(513) 722-4222,11-25-2025,22:30:00,1,Bit impact real network past let.,11,CONFIRMADO, sitioweb,
144,CUST314,Robert,sanders,fosterhannah@example.com,0100571183,08-Oct-2025,20:30,6,,7, Confirmado,Aplicacion,
145,CUST352,Andre,Williams,megan08@example.com,2733615337,22/09/2025,15:45,2,Thing collection how mind.,5,Confirmado,Aplicacion,
146,CUST562,Debra,Singh,justin91@example.org,1763765218,11-06-2025,20:30:00,5,,28,Confirmado,En-linea,
147,CUST576,Luis,Richardson,williamschristopher@example.com,(464) 300-5575,2025-11-26,16:30,4, Past hour forward skin. ,11,confirmado, sitioweb,
148,CUST1563,Lisa,Riley,paulbrown@example.com,172-837-5956,15-Sep-2025,12:30:00,2,,8,cancelado,Telegono,
149,CUST1174,Larry,Meyer,kgray@example.net,839-512-7168,2025-09-29,22:00:00,5,,18,Pendiente ,Telegono,
150,CUST1777,Marc,Martinez,qmontgomery@example.com,6811972865,26-Oct-2025,18:30,7,,26,Pendiente,telefono,
151,CUST251,Michael,Stokes,rebecca73@example.org,8703966260,2025-10-16,21:00:00,9,,29,Cancelado, sitioweb,
152,CUST958,Lisa,Kennedy,zgoodman@example.org,4383726755,02/12/2025,12:45 PM,1,,19,Pendiente ,Telegono,
153,CUST489,Jill,Vaughn,haneyjill@example.net,,2025-10-14,19:30,4,,11,Cancelado,Aplicacion-movil,
154,CUST393,Michael,Gibson,michele78@example.net,(955) 793-8474,09-25-2025,18:30,10,,19,Cancelado,Aplicacion-movil,
155,CUST1609,Angie,Robinson,suttonronnie@example.net,,10-27-2025,15:00:00,3,Enough home every protect institution.,24,cancelado,En-linea,
156,CUST1134,Mike,Taylor,gwolfe@example.net,,29/09/2025,12:30,5,She analysis good successful make.,26,Cancelado,En-linea,
157,CUST1330,Joseph,Leon,valdezscott@example.net,,2025-11-20,12:30 PM,4,,6,cancelado,telefono,
158,CUST846,David,Horton,medinabrittany@example.net,,04-Oct-2025,13:00:00,6,,14,CONFIRMADO,Aplicacion,
159,CUST1113,Hannah,Jackson,russelljonathan@example.org,6509916233,24/09/2025,03:00 PM,8,,28,CONFIRMADO,Aplicacion,
160,CUST901,Sherry,Holmes,ptaylor@email..com,827-930-0164,2025-12-05,06:15 PM,8,Sell she size.,16,No-mostar,Llamada,
161,CUST55,Jessca,Armstrong,heatherramirez@example.com,,04/12/2025,16:45:00,6,,13,Cancelado, sitioweb,
162,CUST838,Martin,Brown,xshaffer@example.com,,10-04-2025,08:45 PM,1,,20,Cancelado,Llamada,
163,CUST401,Doris,Harris,navarrochad@example.net,768-372-8221,27-Sep-2025,12:30,5,,9,Pendiente ,En-linea,
164,CUST867,Juan,Jones,johnbowers@example.com,4595500605,10-01-2025,13:30:00,7,,14,Pendiente,En-linea,
165,CUST1595,Elizabeth,Murillo,jacksonmaria@example,0368143457,17/11/2025,14:15,5,,14,Cancelado,Aplicacion-movil,
166,CUST187,William,Ellis,ahenderson@example.com,669-149-4147,2025-11-05,15:45,10,,24,cancelado,En-linea,
167,CUST544,Philip,George,ubenson@example,,21-Sep-2025,15:45,8,Us assume answer.,6,cancelado, sitioweb,
168,CUST212,Sandra,Melton,michaelharris@example.com,,15/11/2025,16:00,5,,4,Cancelado,Aplicacion-movil,
169,CUST998,Brianna,Taylor,devinmontgomery@example,7364405178,2025-10-15,20:00,99,,26,Pendiente ,Aplicacion-movil,
170,CUST1665,Monica,watson,jimmybowen@example.net,627-819-7713,30-Oct-2025,13:00:00,8,Five enter authority where make subject study.,3,confirmado,Aplicacion-movil,
171,CUST441,Jennifer,Lopez,kaylee85@example.net,7941731696,2025-11-07,02:15 PM,7,,20,Pendiente,En-linea,
172,CUST19,Katie,Woods,fischermichael.com,1050885997,2025-11-08,03:30 PM,9,The provide debate determine baby.,10,confirmado,Sitio,
173,CUST1809,Lisa,Jones,leelaura@example.org,0750670401,19/11/2025,14:45:00,2,,21,Confirmado,Sitio,
174,CUST918,Denise,Clark,nbrown@example.com,6877708996,2025-11-07,12:00 PM,10,Evening your reality happen can.,2,Pendiente,Aplicacion-movil,
175,CUST50,Jonathan,frye,dickersonmary@example.com,145-233-9913,2025-10-18,13:30:00,6,,22,confirmado,Llamada,
176,CUST1789,Debbie,Johnson,thahn@example.org,3944479936,27/09/2025,13:00,6,,24,Pendiente ,Aplicacion-movil,
177,CUST1351,Michael,Butler,smithluke@example.net,(636) 933-4567,23/10/2025,12:15 PM,8,,9,confirmado,Sitio,
178,CUST776,John,Sampson,michelle15@example.com,8692067958,11-25-2025,04:45 PM,5,,4,Pendiente ,Llamada,
179,CUST656,Barbara,Montgomery,sampsonkenneth@example.net,911-943-9843,2025-11-24,06:30 PM,7,,16,Pendiente ,Aplicacion-movil,
180,CUST545,Hailey,Taylor,trevorstout@example.org,,11-25-2025,12:00,8,Audience too maintain save actually little.,15,Pendiente,Aplicacion,
181,CUST1078,Jesus,Burch,rebecca67@example.com,1813938869,26-Sep-2025,16:00:00,8,,21,Pendiente,Aplicacion-movil,
182,CUST882,Ryan,Mendoza,pattersonnancy@example.org,(888) 949-5881,2025-11-13,02:00 PM,5,,22,Pendiente ,Telegono,
183,CUST1937,Debra,Collier,tshepherd@example.com,9343096903,13-Sep-2025,19:00:00,10,,10,Cancelado, sitioweb,
184,CUST207,Jesus,Garcia,logan65@example.net,,12-Sep-2025,20:45,1,Herself him various.,10,Confirmado,Sitio,
185,CUST1121,Grace,Wood,pughanthony@example.com,4088241102,2025-12-01,14:30:00,99, Next page challenge seem. ,18,Confirmado, sitioweb,
186,CUST1265,Melinda,Wallace,lisa13@example.com,9419448465,2025-09-15,07:15 PM,3,Matter station politics happen road.,25,Pendiente,Aplicacion,
187,CUST1505,Jennifer,Garza,bmathews@example.com,(288) 649-5803,28/09/2025,17:00,7,,12,Confirmado,Aplicacion,
188,CUST1841,Wayne,Brown,greenjonathan@example.org,(468) 432-4199,11-16-2025,03:45 PM,7,,26,Confirmado,Telegono,
189,CUST59,Martha,Coffey,pedrothomas@example.com,(861) 291-2391,10/10/2025,17:30:00,1,,14, Confirmado,En-linea,
190,CUST997,Justin,Sanders,samantharandall@example.net,4136595563,2025-10-26,16:15,1,Professor walk however course say able.,27,cancelado,Sitio,
191,CUST118,James,Brown,lamchristopher@example.org,,10-09-2025,12:00 PM,2,Continue society purpose.,12,Pendiente ,En-linea,
192,CUST869,Dillon,Walsh,yesenia14@example.org,,2025-09-10,20:45:00,4,,17,CONFIRMADO,telefono,
193,CUST678,James,Jensen,shannonmcfarland@example.net,(791) 885-1577,12-06-2025,14:45,6,,9,Cancelado,telefono,
194,CUST433,Lisa,Pham,fobrien@example.com,1537149656,2025-11-15,18:00:00,9,,4,Confirmado,En-linea,
195,CUST812,Kenneth,Berg,evelyn29@example.com,141-245-9335,2025-11-13,04:15 PM,8,Mrs choice view.,25,confirmado,Llamada,
196,CUST1545,Sara,Walker,williammcbride@example.net,293-758-1325,2025-10-02,14:30:00,1,Anyone against system for stock.,27, Confirmado, sitioweb,
197,CUST1159,Allen,grant,monique84@example.net,,08/12/2025,16:00:00,7,Quality out nice six.,13, Confirmado,Telegono,
198,CUST1241,Charles,Garcia,ahicks@example.com,141-961-4989,04/10/2025,03:15 PM,7,,2, Confirmado,Aplicacion,
199,CUST1342,Carrie,Wheeler,caleb80@example.org,,22/10/2025,13:30,7,Happy turn owner community audience hour.,30, Confirmado,Aplicacion-movil,
200,CUST646,Erin,Williams,elizabeth93@example.net,(884) 074-6889,13/10/2025,08:45 PM,9,Think financial teacher policy.,19,No-mostar,Llamada,
201,CUST1970,Crly,Sanders,heathermathis@example.org,587-943-2449,01/10/2025,05:45 PM,9,,3, Confirmado,Sitio,
202,CUST734,Jeremy,Davis,johnjenkins@example.org,(011) 864-9298,14/11/2025,07:45 PM,9,,3,Pendiente,Sitio,
203,CUST1106,Richard,Jackson,tammiegreen@example.com,(833) 360-7507,25/10/2025,21:45:00,9,Child hope improve.,23,cancelado,Sitio,
204,CUST644,Dan,Bell,parkermargaret@example.net,232-531-1601,2025-10-22,01:45 PM,9,Almost Congress challenge choose.,2, Confirmado,telefono,
205,CUST1770,Paul,Williams,ambercampos@example.com,6990021165,09-29-2025,04:45 PM,1, Relationship anyone game. ,17,Confirmado,Telegono,
206,CUST584,Nicole,Jones,scottmartinez@example.com,0591375190,06-Oct-2025,09:45 PM,4,Most down question whether accept lay.,7, Confirmado,En-linea,
207,CUST768,Lauren,Smith,austinsmith@example.com,6671728068,30/11/2025,02:00 PM,9,  ,20,Pendiente ,telefono,
